engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL,sensor_measurement_2_ma,sensor_measurement_2_ema,sensor_measurement_2_diff,sensor_measurement_2_z
98,131,-0.0017,-0.0004,100.0,642.85,1598.3,1414.73,21.61,552.53,2388.14,9069.35,47.85,521.05,2388.12,8146.83,8.4344,0.03,395,2388,100.0,38.74,23.1894,25,643.1940000000001,643.09097457377,-0.2899999999999636,0.3381050801099907
47,94,0.0006,-0.0004,100.0,642.18,1579.57,1403.6,21.61,554.54,2388.04,9062.86,47.52,522.39,2388.01,8149.7,8.4471,0.03,393,2388,100.0,38.95,23.3349,120,642.2120000000001,642.2518657006972,-0.0300000000000864,-1.0017846444581655
80,173,-0.0018,-0.0001,100.0,643.37,1605.22,1427.59,21.61,552.92,2388.14,9126.35,48.01,520.51,2388.13,8204.65,8.4791,0.03,395,2388,100.0,38.41,23.111,12,643.29,643.276350848965,0.3100000000000591,1.3780194932075152
2,7,0.0001,-0.0002,100.0,642.03,1587.49,1400.65,21.61,554.84,2388.05,9052.67,47.1,522.14,2388.04,8136.33,8.3941,0.03,391,2388,100.0,39.1,23.4718,280,641.658,641.8350284214755,0.7300000000000182,-1.3017599559285704
47,37,0.0008,0.0001,100.0,642.43,1584.72,1395.16,21.61,554.67,2388.0,9063.29,47.1,522.56,2388.0,8147.49,8.418,0.03,391,2388,100.0,38.99,23.3671,177,642.53,642.4490317881268,0.2399999999998954,-0.5018257920074154
67,181,0.0012,-0.0004,100.0,642.72,1591.88,1413.54,21.61,553.23,2388.1,9060.75,47.55,520.96,2388.03,8144.13,8.4642,0.03,393,2388,100.0,38.8,23.3124,132,642.716,642.6680109229155,0.1900000000000545,0.0781264768356096
67,40,-0.0002,0.0,100.0,642.4,1577.7,1405.7,21.61,553.16,2388.07,9060.04,47.28,521.57,2388.04,8145.9,8.3888,0.03,392,2388,100.0,38.93,23.2687,273,642.414,642.373769070053,0.2200000000000272,-0.5618208543014509
61,47,0.0022,-0.0004,100.0,641.67,1588.11,1403.35,21.61,554.74,2387.99,9063.26,47.18,522.27,2387.99,8141.56,8.4041,0.03,392,2388,100.0,38.94,23.382,138,641.894,641.8562599736855,-0.5200000000000955,-2.0217007034576784
69,48,0.0021,-0.0004,100.0,642.22,1583.95,1394.68,21.61,553.84,2388.01,9062.15,47.29,522.1,2388.02,8139.48,8.4212,0.03,392,2388,100.0,39.1,23.4226,314,642.224,642.2872673623306,-0.1999999999999318,-0.9217912280658912
1,160,-0.0006,-0.0004,100.0,643.45,1590.65,1418.08,21.61,551.87,2388.21,9045.42,47.84,520.47,2388.22,8122.68,8.4433,0.03,396,2388,100.0,38.52,23.2817,32,642.892,643.0104350446059,0.5600000000000591,1.538006325991837
52,104,0.0002,-0.0003,100.0,642.84,1590.26,1414.03,21.61,553.2,2388.12,9058.48,47.45,520.92,2388.11,8135.73,8.4408,0.03,394,2388,100.0,38.93,23.1982,109,642.874,642.8563992597892,-0.0699999999999363,0.3181067260119789
33,23,0.0004,0.0002,100.0,641.98,1576.94,1396.29,21.61,554.09,2388.01,9063.67,47.11,521.93,2388.0,8145.87,8.3671,0.03,392,2388,100.0,39.1,23.4241,177,642.0179999999999,642.0610761077347,-0.3299999999999272,-1.4017517264186297
54,230,0.0036,-0.0001,100.0,642.98,1599.85,1420.21,21.61,552.12,2388.14,9110.96,47.66,520.64,2388.08,8181.5,8.4809,0.03,394,2388,100.0,38.74,23.1741,27,642.9639999999999,642.9728480261952,0.1800000000000636,0.5980836833843718
26,21,0.0003,0.0003,100.0,642.79,1597.97,1414.67,21.61,553.39,2388.07,9045.5,47.51,521.66,2388.18,8122.91,8.4233,0.03,392,2388,100.0,38.61,23.3702,178,642.742,642.696324811189,0.2300000000000182,0.2181149555216924
66,93,-0.0002,0.0003,100.0,642.85,1594.16,1411.15,21.61,553.2,2388.12,9062.02,47.86,520.78,2388.12,8134.49,8.4515,0.03,394,2388,100.0,38.63,23.2976,109,642.866,642.893629502397,-0.1200000000000045,0.3381050801099907
77,14,-0.0027,-0.0003,100.0,642.69,1590.52,1406.71,21.61,553.95,2388.17,9047.87,47.58,521.86,2388.1,8129.32,8.4128,0.03,391,2388,100.0,38.96,23.3022,140,642.614,642.5387682974057,0.57000000000005,0.0181314145415741
8,64,-0.0004,-0.0003,100.0,643.04,1587.91,1403.83,21.61,552.8,2388.15,9042.25,47.82,521.23,2388.12,8130.97,8.4649,0.03,394,2388,100.0,38.76,23.1794,86,642.72,642.7473824381763,0.6599999999999682,0.7180738079724428
69,339,-0.0,-0.0004,100.0,643.77,1589.96,1419.72,21.61,552.35,2388.27,9052.69,48.02,520.44,2388.24,8136.71,8.4823,0.03,395,2388,100.0,38.34,23.128,23,643.714,643.703733995149,0.1799999999999499,2.17795365712867
94,47,-0.0016,-0.0005,100.0,642.71,1588.01,1415.87,21.61,553.3,2388.12,9039.99,47.55,521.02,2388.11,8125.39,8.414,0.03,392,2388,100.0,38.91,23.3137,211,642.6200000000001,642.601093931607,0.2800000000000864,0.0581281227375978
67,250,0.0025,-0.0001,100.0,643.18,1595.97,1414.12,21.61,552.55,2388.15,9069.94,47.77,521.09,2388.13,8143.98,8.4969,0.03,395,2388,100.0,38.9,23.2547,63,642.836,642.9162262882318,0.4899999999998954,0.9980507653448356
98,94,-0.001,0.0004,100.0,641.95,1580.15,1400.39,21.61,553.35,2388.04,9067.45,47.53,522.01,2388.05,8152.23,8.4644,0.03,391,2388,100.0,38.87,23.4745,62,642.384,642.3905037952919,-0.8299999999999272,-1.4617467887126652
16,160,0.0007,0.0005,100.0,643.24,1592.09,1419.9,21.61,552.69,2388.16,9062.07,47.85,520.45,2388.17,8132.41,8.4707,0.03,396,2388,100.0,38.5,23.1367,49,643.168,643.1584873312477,0.169999999999959,1.118040889933134
48,8,0.0025,0.0001,100.0,641.9,1576.47,1397.54,21.61,553.93,2387.98,9064.2,47.46,522.15,2388.06,8141.87,8.4118,0.03,391,2388,100.0,39.12,23.3935,223,642.29,642.2359997407762,-0.3999999999999772,-1.5617385592029516
79,58,0.0021,-0.0005,100.0,642.46,1589.58,1398.07,21.61,554.53,2388.02,9056.26,47.19,522.52,2388.03,8142.82,8.4198,0.03,393,2388,100.0,38.93,23.3336,141,642.2819999999999,642.2452195778149,0.4700000000000273,-0.4418307297131525
71,102,-0.0015,0.0004,100.0,642.55,1587.79,1403.93,21.61,553.3,2388.13,9047.5,47.39,521.94,2388.09,8138.37,8.4331,0.03,394,2388,100.0,38.74,23.2832,106,642.516,642.5740076840858,0.0299999999999727,-0.2618455428310461
56,70,0.0002,-0.0,100.0,642.41,1589.1,1406.82,21.61,553.8,2388.14,9055.98,47.63,521.46,2388.15,8135.43,8.3901,0.03,392,2388,100.0,38.91,23.3633,205,642.7299999999999,642.5848031446305,0.0299999999999727,-0.541822500203439
83,277,-0.0003,-0.0001,100.0,643.23,1598.32,1420.06,21.61,552.04,2388.22,9050.16,47.79,520.28,2388.17,8129.43,8.4993,0.03,396,2388,100.0,38.73,23.1497,16,643.3499999999999,643.3176384871693,-0.0599999999999454,1.0980425358351222
41,29,0.0023,-0.0003,100.0,642.15,1584.24,1402.21,21.61,554.49,2388.04,9072.69,47.2,522.16,2388.01,8146.1,8.4184,0.03,392,2388,100.0,39.03,23.4006,187,642.206,642.2047778501702,0.1100000000000136,-1.0617797067522012
50,169,-0.0056,0.0003,100.0,643.04,1598.54,1410.54,21.61,552.91,2388.13,9100.45,47.77,520.37,2388.15,8169.12,8.4664,0.03,395,2388,100.0,38.55,23.1757,29,643.22,643.1875718967386,-0.4300000000000636,0.7180738079724428
13,156,-0.0016,-0.0004,100.0,643.71,1599.54,1419.52,21.61,552.08,2388.17,9133.8,47.87,520.4,2388.16,8205.99,8.4988,0.03,395,2388,100.0,38.48,23.0585,7,643.458,643.4518114650109,0.6299999999999955,2.057963532540599
83,157,0.0018,0.0,100.0,642.36,1593.83,1399.63,21.61,554.55,2388.01,9050.53,47.22,522.18,2388.03,8138.33,8.3973,0.03,393,2388,100.0,39.01,23.3671,136,642.2320000000001,642.2496306160933,0.0199999999999818,-0.6418142706934982
55,23,-0.0035,-0.0002,100.0,642.71,1588.78,1411.58,21.61,553.88,2388.07,9055.32,47.52,521.69,2388.1,8125.81,8.4265,0.03,392,2388,100.0,38.87,23.3842,170,642.75,642.7308453037414,-0.3600000000000136,0.0581281227375978
41,190,0.0003,0.0,100.0,642.48,1597.18,1421.2,21.61,553.11,2388.08,9109.74,47.52,520.89,2388.09,8190.5,8.4716,0.03,394,2388,100.0,38.83,23.2267,26,642.806,642.8301839961061,-1.1399999999999864,-0.4018340215171289
82,19,-0.0011,-0.0002,100.0,641.87,1587.92,1394.24,21.6,554.38,2388.03,9064.01,47.17,522.5,2388.04,8141.87,8.3713,0.03,390,2388,100.0,39.0,23.3893,195,642.088,642.0295085799169,-0.3500000000000227,-1.621733621496987
9,198,0.0022,-0.0002,100.0,643.46,1599.45,1433.83,21.61,552.86,2388.15,9214.62,47.85,519.86,2388.13,8271.39,8.5206,0.03,397,2388,100.0,38.49,23.1286,3,643.1899999999999,643.3001197467593,0.0400000000000773,1.5580046800898488
25,24,-0.0012,0.0,100.0,642.12,1589.55,1408.37,21.61,553.21,2388.11,9045.53,47.28,521.38,2388.06,8123.64,8.4316,0.03,393,2388,100.0,38.84,23.3507,206,642.4300000000001,642.4140032501354,-0.4500000000000455,-1.1217747690462367
34,13,-0.0006,-0.0001,100.0,641.8,1589.15,1406.61,21.61,554.03,2388.07,9066.11,47.23,521.28,2388.04,8140.99,8.4304,0.03,394,2388,100.0,38.88,23.3323,182,642.5939999999999,642.4420779542897,-1.160000000000082,-1.7617221001832972
33,167,-0.0014,0.0003,100.0,643.22,1593.3,1413.93,21.61,553.21,2388.19,9063.2,47.73,520.31,2388.1,8136.57,8.4559,0.03,394,2388,100.0,38.54,23.1157,33,642.77,642.8751379842208,0.4600000000000364,1.0780441817371105
9,9,0.0003,-0.0004,100.0,641.99,1580.58,1394.58,21.6,554.88,2388.04,9070.86,47.2,522.35,2388.04,8148.65,8.3858,0.03,391,2388,100.0,39.03,23.5122,192,641.802,641.8753012650835,0.5299999999999727,-1.3817533723206177
5,11,-0.0026,-0.0003,100.0,641.9,1585.25,1393.09,21.61,554.2,2387.96,9064.45,47.3,522.0,2388.01,8146.73,8.4091,0.03,391,2388,100.0,39.12,23.4847,258,642.208,642.1018030517687,-0.2799999999999727,-1.5617385592029516
26,137,0.0015,0.0002,100.0,643.01,1591.12,1408.75,21.61,553.01,2388.07,9068.24,47.58,521.7,2388.09,8151.68,8.4092,0.03,393,2388,100.0,38.85,23.2432,62,643.0060000000001,642.9877173331985,-0.1399999999999863,0.6580787456784073
89,178,-0.0004,-0.0005,100.0,643.48,1593.15,1414.54,21.61,552.26,2388.14,9053.77,47.85,520.83,2388.19,8135.96,8.4597,0.03,394,2388,100.0,38.75,23.2209,39,643.0980000000001,643.1510569417813,0.3300000000000409,1.5980013882858726
53,63,0.0007,0.0001,100.0,642.57,1584.07,1401.63,21.61,553.18,2388.04,9066.16,47.42,521.9,2388.1,8144.21,8.4335,0.03,394,2388,100.0,38.84,23.3984,132,642.664,642.6438411861993,-0.2099999999999227,-0.2218488346347951
29,136,-0.0011,-0.0005,100.0,643.09,1593.44,1415.61,21.61,553.04,2388.15,9060.64,47.98,520.37,2388.16,8135.69,8.4464,0.03,393,2388,100.0,38.57,23.1277,27,643.434,643.318844521695,-0.5199999999999818,0.8180655784627293
41,182,-0.0043,0.0002,100.0,642.99,1598.58,1413.15,21.61,553.84,2388.11,9099.43,47.77,520.3,2388.11,8178.82,8.4514,0.03,394,2388,100.0,38.71,23.2068,34,642.876,642.8754578064521,0.2799999999999727,0.6180820374823837
53,7,-0.0039,-0.0,100.0,642.76,1585.02,1400.97,21.61,553.84,2388.06,9067.56,47.31,521.68,2388.05,8142.13,8.4197,0.03,392,2388,100.0,38.93,23.4027,188,642.368,642.5856687675024,0.3099999999999454,0.1581198932276569
94,43,-0.0018,0.0004,100.0,642.83,1585.98,1410.96,21.61,553.55,2388.16,9044.81,47.48,521.84,2388.12,8127.31,8.4303,0.03,394,2388,100.0,38.78,23.2976,215,642.5840000000001,642.6761630287599,0.1900000000000545,0.2981083719139671
26,112,-0.0016,-0.0,100.0,642.82,1588.95,1410.12,21.61,553.23,2388.13,9056.89,47.78,521.06,2388.1,8132.29,8.4548,0.03,394,2388,100.0,38.76,23.2857,87,642.7560000000001,642.7411763751561,0.0400000000000773,0.2781100178159553
64,178,-0.0028,0.0002,100.0,642.48,1590.91,1411.71,21.61,554.05,2388.1,9064.43,47.72,521.18,2388.12,8148.7,8.4628,0.03,393,2388,100.0,38.83,23.2535,105,642.716,642.6666463083957,-0.3700000000000045,-0.4018340215171289
53,138,0.0018,-0.0004,100.0,642.6,1586.84,1409.79,21.61,552.87,2388.09,9086.31,47.62,521.77,2388.08,8162.37,8.4296,0.03,392,2388,100.0,38.73,23.3491,57,642.8340000000001,642.7202058609423,-0.2699999999999818,-0.1618537723407596
31,10,-0.0027,-0.0001,100.0,642.64,1595.07,1399.16,21.61,554.44,2388.01,9053.89,47.02,522.29,2388.02,8137.21,8.3873,0.03,389,2388,100.0,39.12,23.469,224,642.316,642.332025592219,0.7999999999999545,-0.0818603559487123
69,192,-0.0,-0.0004,100.0,642.54,1590.74,1417.58,21.61,553.43,2388.12,9056.73,47.58,521.5,2388.13,8138.4,8.4482,0.03,393,2388,100.0,38.89,23.3725,170,642.802,642.7006879252106,-0.4700000000000273,-0.2818438969290579
40,134,-0.0005,0.0001,100.0,642.96,1591.02,1416.87,21.61,553.06,2388.07,9079.03,47.73,520.69,2388.1,8152.74,8.431,0.03,394,2388,100.0,38.76,23.1097,54,642.86,642.9281577374942,0.1500000000000909,0.5580869751883482
68,138,-0.0011,0.0001,100.0,642.68,1592.53,1418.13,21.61,553.13,2388.09,9087.46,47.77,520.93,2388.08,8166.45,8.4598,0.03,395,2388,100.0,38.85,23.2376,61,642.9159999999999,642.8925742888123,-0.2400000000000091,-0.001866939556665
75,88,0.0025,-0.0001,100.0,642.53,1588.28,1407.71,21.61,552.83,2388.09,9050.19,47.49,521.5,2388.08,8120.0,8.4313,0.03,394,2388,100.0,38.78,23.3678,141,642.73,642.6866276617367,-0.1200000000000045,-0.3018422510270697
86,219,-0.0004,-0.0001,100.0,643.14,1595.67,1409.24,21.61,552.57,2388.13,9069.06,47.7,521.07,2388.13,8144.14,8.4764,0.03,394,2388,100.0,38.84,23.2217,59,643.2439999999999,643.2348791842201,-0.3300000000000409,0.9180573489527885
56,106,0.0008,-0.0,100.0,642.9,1595.62,1413.97,21.61,553.3,2388.09,9057.54,47.37,521.33,2388.11,8138.76,8.4388,0.03,394,2388,100.0,38.81,23.3012,169,642.856,642.8828690920305,0.2200000000000272,0.4380968506000499
50,66,-0.002,-0.0002,100.0,642.52,1584.84,1407.86,21.61,553.52,2388.05,9065.0,47.58,521.98,2388.03,8142.94,8.4272,0.03,392,2388,100.0,38.96,23.2587,132,642.35,642.3756837577823,0.2799999999999727,-0.3218406051250815
80,71,-0.0004,0.0003,100.0,642.32,1593.2,1406.88,21.61,553.29,2388.15,9050.43,47.55,521.87,2388.15,8139.98,8.4209,0.03,393,2388,100.0,38.9,23.2054,114,642.5600000000001,642.4995176648326,-0.1299999999999954,-0.7218076870855454
97,186,-0.0035,0.0003,100.0,643.37,1601.66,1421.33,21.61,552.6,2388.06,9150.47,47.79,520.82,2388.04,8215.76,8.4474,0.03,394,2388,100.0,38.51,23.1516,16,643.204,643.2160173907982,0.7899999999999636,1.3780194932075152
